job_id,utility_owner,contractor,scope_type,region,status,start_date,planned_end_date,actual_duration_days,delay_days,delay_pct,markout_issues,inspections_failed,contractor_risk_factor,risk_score,risk_level,risk_reasons
PRG-2024-0053,Con Edison,Tri-State Utilities Inc,Main Repair,Brooklyn,Open,2024-07-05,2024-08-13,590,551,1412.8,0,2,159.25,238.75,HIGH,Job open 590 days; Running 551 days past planned end; Multiple inspection failures (2)
PRG-2024-0067,Con Edison,Empire Excavation,Valve Replacement,Suffolk,Open,2024-07-04,2024-08-14,591,550,1341.5,3,2,141.33,236.27,HIGH,Job open 591 days; Running 550 days past planned end; High markout issue count (3); Multiple inspection failures (2)
PRG-2024-0030,PSEG,Tri-State Utilities Inc,Valve Replacement,Brooklyn,In Progress,2024-07-14,2024-07-24,581,571,5710.0,0,0,159.25,235.2,HIGH,Job open 581 days; Running 571 days past planned end
PRG-2024-0002,Consolidated Gas,Consolidated Field Svcs,Service Install,Manhattan,Open,2024-07-08,2024-07-18,587,577,5770.0,2,0,144.35,234.82,HIGH,Job open 587 days; Running 577 days past planned end; Markout issues logged (2)
PRG-2024-0018,Consolidated Gas,Empire Excavation,Service Install,Suffolk,Open,2024-07-19,2024-08-25,576,539,1456.8,1,4,141.33,230.92,HIGH,Job open 576 days; Running 539 days past planned end; Markout issues logged (1); Multiple inspection failures (4)
PRG-2024-0078,Con Edison,XYZ Underground LLC,Planned Upgrade,Manhattan,Open,2024-07-23,2024-08-17,572,547,2188.0,6,3,142.64,230.83,HIGH,Job open 572 days; Running 547 days past planned end; High markout issue count (6); Multiple inspection failures (3)
PRG-2024-0029,PSEG,Tri-State Utilities Inc,Valve Replacement,Staten Island,Open,2024-07-28,2024-09-06,567,527,1317.5,2,0,159.25,230.8,HIGH,Job open 567 days; Running 527 days past planned end; Markout issues logged (2)
PRG-2024-0013,PSEG,Consolidated Field Svcs,Planned Upgrade,Suffolk,Open,2024-07-28,2024-09-11,567,522,1160.0,2,0,144.35,227.82,HIGH,Job open 567 days; Running 522 days past planned end; Markout issues logged (2)
PRG-2024-0032,Con Edison,XYZ Underground LLC,Valve Replacement,Suffolk,In Progress,2024-08-02,2024-08-09,562,555,7928.6,2,1,142.64,225.93,HIGH,Job open 562 days; Running 555 days past planned end; Markout issues logged (2); Inspection failure on record (1)
PRG-2024-0010,PSEG,XYZ Underground LLC,Emergency Repair,Staten Island,In Progress,2024-08-05,2024-09-11,559,522,1410.8,6,0,142.64,225.68,HIGH,Job open 559 days; Running 522 days past planned end; High markout issue count (6)
PRG-2024-0055,Con Edison,XYZ Underground LLC,Planned Upgrade,Bronx,In Progress,2024-08-12,2024-09-24,552,509,1183.7,6,1,142.64,223.43,HIGH,Job open 552 days; Running 509 days past planned end; High markout issue count (6); Inspection failure on record (1)
PRG-2024-0079,PSEG,Empire Excavation,Valve Replacement,Staten Island,In Progress,2024-08-18,2024-09-25,546,508,1336.8,5,3,141.33,221.22,HIGH,Job open 546 days; Running 508 days past planned end; High markout issue count (5); Multiple inspection failures (3)
PRG-2024-0044,Consolidated Gas,Consolidated Field Svcs,Planned Upgrade,Staten Island,In Progress,2024-08-15,2024-09-22,549,511,1344.7,0,0,144.35,221.02,HIGH,Job open 549 days; Running 511 days past planned end
PRG-2024-0019,Con Edison,Empire Excavation,Main Repair,Bronx,Open,2024-08-18,2024-08-29,546,535,4863.6,2,3,141.33,220.47,HIGH,Job open 546 days; Running 535 days past planned end; Markout issues logged (2); Multiple inspection failures (3)
PRG-2024-0026,Con Edison,Empire Excavation,Main Repair,Manhattan,Open,2024-08-22,2024-09-16,542,517,2068.0,1,2,141.33,218.62,HIGH,Job open 542 days; Running 517 days past planned end; Markout issues logged (1); Multiple inspection failures (2)
PRG-2024-0025,Con Edison,Consolidated Field Svcs,Emergency Repair,Nassau,Open,2024-08-30,2024-09-29,534,504,1680.0,0,2,144.35,216.17,HIGH,Job open 534 days; Running 504 days past planned end; Multiple inspection failures (2)
PRG-2024-0006,National Grid,Tri-State Utilities Inc,Main Repair,Staten Island,In Progress,2024-09-10,2024-10-14,523,489,1438.2,0,1,159.25,215.1,HIGH,Job open 523 days; Running 489 days past planned end; Inspection failure on record (1)
PRG-2024-0075,National Grid,Consolidated Field Svcs,Planned Upgrade,Bronx,Open,2024-09-03,2024-09-09,530,524,8733.3,2,0,144.35,214.87,HIGH,Job open 530 days; Running 524 days past planned end; Markout issues logged (2)
PRG-2024-0009,Consolidated Gas,Consolidated Field Svcs,Planned Upgrade,Manhattan,Open,2024-09-06,2024-09-19,527,514,3953.8,2,1,144.35,214.02,HIGH,Job open 527 days; Running 514 days past planned end; Markout issues logged (2); Inspection failure on record (1)
PRG-2024-0014,Con Edison,Tri-State Utilities Inc,Main Repair,Nassau,Open,2024-09-21,2024-10-27,512,476,1322.2,1,0,159.25,211.3,HIGH,Job open 512 days; Running 476 days past planned end; Markout issues logged (1)
